"","subject_ID","condition","trial_num","treat_location","chosen_side_reli","response_orig","response_reli"
"347","messerli_md1_073","ost",7,"R","R",1,1
"348","messerli_md1_073","ost",8,"L","L",1,1
"349","messerli_md1_073","non",1,"L","L",1,1
"350","messerli_md1_073","non",2,"R","R",1,1
"351","messerli_md1_073","non",3,"R","R",1,1
"352","messerli_md1_073","non",4,"L","R",0,0
"353","messerli_md1_073","non",5,"R","R",1,1
"354","messerli_md1_073","non",6,"L","L",1,1
"355","messerli_md1_073","non",7,"R","R",1,1
"356","messerli_md1_073","non",8,"L","R",0,0
"357","messerli_md1_073","odour",1,"R","R",1,1
"358","messerli_md1_073","odour",2,"L","R",0,0
"359","messerli_md1_073","odour",3,"L","L",1,1
"360","messerli_md1_073","odour",4,"R","R",1,1
